listview__name-link,listview__mpn
"Samsung OEM Datacenter SSD PM9A3 7.68TB, 2.5""/U.2/PCIe 4.0 x4",MZQL27T6HBLA-00A07
"Samsung OEM Datacenter SSD PM9A3 960GB, 2.5""/U.2/PCIe 4.0 x4",MZQL2960HCJR-00A07
"Samsung SSD PM983 1.92TB, 2.5""/U.2/PCIe 3.0 x4",MZQLB1T9HAJR-00007
"Samsung SSD PM983 7.68TB, 2.5""/U.2/PCIe 3.0 x4",MZQLB7T6HMLA-00007
"Samsung SSD PM983 960GB, 2.5""/U.2/PCIe 3.0 x4",MZQLB960HAJR-00007
"Samsung OEM Client SSD PM9A1 1TB, M.2 2280/M-Key/PCIe 4.0 x4",MZVL21T0HCLR-00B00
"Samsung OEM Client SSD PM981a 1TB, M.2 2280/M-Key/PCIe 3.0 x4",MZVLB1T0HBLR-00000
"Samsung OEM Enterprise SSD PM1733 15.36TB, 2.5""/U.2/PCIe 4.0 x4",MZWLJ15THALA-00007
"Samsung OEM Enterprise SSD PM1733 1.92TB, 2.5""/U.2/PCIe 4.0 x4",MZWLJ1T9HBJR-00007
"Samsung OEM Enterprise SSD PM1733 3.84TB, 2.5""/U.2/PCIe 4.0 x4",MZWLJ3T8HBLS-00007
"Samsung OEM Enterprise SSD PM1733 7.68TB, 2.5""/U.2/PCIe 4.0 x4",MZWLJ7T6HALA-00007
"Samsung OEM Enterprise SSD PM1725b 12.8TB, 2.5""/U.2/PCIe 3.0 x4",MZWLL12THMLA
"Samsung OEM Enterprise SSD PM1725b 1.6TB, 2.5""/U.2/PCIe 3.0 x4",MZWLL1T6HAJQ
"Samsung OEM Enterprise SSD PM1725a 1.6TB, 2.5""/U.2/PCIe 3.0 x4",MZWLL1T6HEHP-00003
"Samsung OEM Enterprise SSD PM1725b 3.2TB, 2.5""/U.2/PCIe 3.0 x4",MZWLL3T2HAJQ
"Samsung OEM Enterprise SSD PM1725a 3.2TB, 2.5""/U.2/PCIe 3.0 x4",MZWLL3T2HMJP-00003
"Samsung OEM Enterprise SSD PM1725b 6.4TB, 2.5""/U.2/PCIe 3.0 x4",MZWLL6T4HMLA
"Samsung OEM Enterprise SSD PM1725a 6.4TB, 2.5""/U.2/PCIe 3.0 x4",MZWLL6T4HMLS-00003
"Samsung OEM Enterprise SSD PM1725a 800GB, 2.5""/U.2/PCIe 3.0 x4",MZWLL800HEHP-00003
"Samsung OEM Enterprise SSD PM1733 EVT2 15.36TB, 2.5""/U.2/PCIe 4.0 x4",MZWLR15THALA-00007
"Samsung OEM Enterprise SSD PM1733 EVT2 1.92TB, 2.5""/U.2/PCIe 4.0 x4",MZWLR1T9HBJR-00007
"Samsung OEM Enterprise SSD PM1733 EVT2 3.84TB, 2.5""/U.2/PCIe 4.0 x4",MZWLR3T8HBLS-00007
"Samsung OEM Enterprise SSD PM1733 EVT2 7.68TB, 2.5""/U.2/PCIe 4.0 x4",MZWLR7T6HALA-00007
"Samsung OEM Enterprise SSD PM1643a, SAS",
"Samsung OEM Enterprise SSD PM1735, PCIe 4.0 x8",
"Samsung OEM Enterprise SSD PM1733, U.2",
"Samsung OEM Enterprise SSD PM1725a, PCIe 3.0 x8",
"Samsung OEM Datacenter SSD PM893 / Enterprise SSD PM893, SATA",
"Samsung OEM Datacenter SSD PM9A3 / Enterprise SSD PM9A3, U.2",
"Samsung OEM Enterprise SSD PM1725b, U.2",
"Samsung OEM Enterprise SSD PM1725a, U.2",
"Samsung OEM Enterprise SSD PM1643, SAS",
"Samsung OEM Datacenter SSD PM883, SATA",
"Samsung OEM Datacenter SSD PM9A3, M.2",
"Samsung OEM Client SSD PM9A1, M.2",
"Samsung SSD PM983, U.2",
"Samsung OEM Enterprise SSD PM1725b, PCIe 3.0 x8",
"Samsung OEM Datacenter SSD SM883, SATA",
"Samsung SSD PM983, M.2",
"Samsung OEM Client SSD PM981a, M.2",
